|    | Category       | Value                 |   Samples |   Precision |   Recall |   F-beta |
| 49 | relationship   | Husband               |      2590 |    0.806573 | 0.734188 | 0.76868  |
| 50 | relationship   | Unmarried             |       702 |    1        | 0.377778 | 0.548387 |
| 51 | relationship   | Own-child             |      1019 |    0.6      | 0.176471 | 0.272727 |
| 52 | relationship   | Other-relative        |       178 |    0.8      | 0.5      | 0.615385 |
| 53 | race           | White                 |      5595 |    0.813458 | 0.668768 | 0.734051 |
| 54 | race           | Black                 |       599 |    0.75     | 0.692308 | 0.72     |
| 55 | race           | Other                 |        55 |    1        | 0.666667 | 0.8      |
| 56 | race           | Asian-Pac-Islander    |       193 |    0.810345 | 0.758065 | 0.783333 |
| 57 | race           | Amer-Indian-Eskimo    |        71 |    0.833333 | 0.5      | 0.625    |
| 58 | sex            | Female                |      2126 |    0.794872 | 0.532189 | 0.637532 |
| 59 | sex            | Male                  |      4387 |    0.813264 | 0.696562 | 0.750403 |
| 60 | native-country | United-States         |      5870 |    0.811385 | 0.665505 | 0.73124  |
| 61 | native-country | Mexico                |       114 |    1        | 0.333333 | 0.5      |
| 62 | native-country | Puerto-Rico           |        22 |    1        | 0.5      | 0.666667 |
| 63 | native-country | El-Salvador           |        20 |    1        | 1        | 1        |
| 64 | native-country | ?                     |       125 |    0.777778 | 0.677419 | 0.724138 |
| 65 | native-country | Columbia              |         6 |    1        | 1        | 1        |
| 66 | native-country | Poland                |        14 |    0.666667 | 1        | 0.8      |
| 67 | native-country | Cambodia              |         3 |    1        | 0        | 0        |
| 68 | native-country | Germany               |        32 |    0.785714 | 0.846154 | 0.814815 |
| 69 | native-country | Philippines           |        35 |    1        | 0.75     | 0.857143 |
| 70 | native-country | Canada                |        22 |    0.8      | 1        | 0.888889 |
| 71 | native-country | Ecuador               |         5 |    1        | 0.5      | 0.666667 |
| 72 | native-country | Italy                 |        14 |    0.8      | 1        | 0.888889 |
| 73 | native-country | Cuba                  |        19 |    1        | 0.8      | 0.888889 |
| 74 | native-country | Iran                  |        12 |    0.333333 | 0.2      | 0.25     |
| 75 | native-country | Jamaica               |        13 |    1        | 1        | 1        |
| 76 | native-country | Haiti                 |         6 |    1        | 1        | 1        |
| 77 | native-country | South                 |        13 |    0.25     | 0.5      | 0.333333 |
| 78 | native-country | Taiwan                |        11 |    0.8      | 1        | 0.888889 |
| 79 | native-country | Dominican-Republic    |         8 |    1        | 1        | 1        |
| 80 | native-country | Ireland               |         5 |    1        | 1        | 1        |
| 81 | native-country | Japan                 |        11 |    0.75     | 0.75     | 0.75     |
| 82 | native-country | Scotland              |         3 |    1        | 1        | 1        |
| 83 | native-country | India                 |        21 |    0.875    | 0.875    | 0.875    |
| 84 | native-country | Trinadad&Tobago       |         3 |    1        | 1        | 1        |
| 85 | native-country | Hungary               |         3 |    1        | 0.5      | 0.666667 |
| 86 | native-country | England               |        14 |    0.75     | 0.75     | 0.75     |
| 87 | native-country | Laos                  |         4 |    1        | 0        | 0        |
| 88 | native-country | Hong                  |         8 |    0.5      | 1        | 0.666667 |
| 89 | native-country | Greece                |         7 |    1        | 1        | 1        |
| 90 | native-country | Portugal              |         6 |    1        | 1        | 1        |
| 91 | native-country | Guatemala             |        13 |    1        | 1        | 1        |
| 92 | native-country | China                 |        18 |    0.888889 | 1        | 0.941176 |
| 93 | native-country | France                |         5 |    1        | 1        | 1        |
| 94 | native-country | Nicaragua             |         7 |    1        | 1        | 1        |
| 95 | native-country | Vietnam               |         5 |    1        | 1        | 1        |
| 96 | native-country | Thailand              |         5 |    1        | 1        | 1        |
| 97 | native-country | Peru                  |         5 |    1        | 0        | 0        |
| 98 | native-country | Honduras              |         4 |    1        | 1        | 1        |
| 99 | native-country | Yugoslavia            |         2 |    1        | 1        | 1        |
